;Parametr k;Metryka;Liczba cech;Dokładność;Wyniki
19;5;euclidean;2;0.7328171828171828;[0.7692307692307693, 0.7012987012987013, 0.7307692307692307, 0.7272727272727273, 0.7051282051282052, 0.7272727272727273, 0.8589743589743589, 0.7272727272727273, 0.6666666666666666, 0.7142857142857143]
20;5;euclidean;3;0.7573093573093573;[0.7948717948717948, 0.7532467532467533, 0.717948717948718, 0.7532467532467533, 0.7307692307692307, 0.7662337662337663, 0.8076923076923077, 0.6753246753246753, 0.8205128205128205, 0.7532467532467533]
21;5;euclidean;4;0.8180652680652681;[0.7948717948717948, 0.8961038961038961, 0.8333333333333334, 0.7922077922077922, 0.8589743589743589, 0.7792207792207793, 0.8076923076923077, 0.8181818181818182, 0.7948717948717948, 0.8051948051948052]
22;5;euclidean;5;0.8051282051282053;[0.8076923076923077, 0.7532467532467533, 0.8205128205128205, 0.8311688311688312, 0.8461538461538461, 0.7662337662337663, 0.7692307692307693, 0.8571428571428571, 0.8076923076923077, 0.7922077922077922]
23;5;euclidean;6;0.8270396270396271;[0.7948717948717948, 0.7922077922077922, 0.8461538461538461, 0.8831168831168831, 0.8589743589743589, 0.7792207792207793, 0.8461538461538461, 0.7922077922077922, 0.8333333333333334, 0.8441558441558441]
24;5;euclidean;7;0.8166333666333667;[0.8461538461538461, 0.7922077922077922, 0.8333333333333334, 0.8051948051948052, 0.7948717948717948, 0.7792207792207793, 0.8974358974358975, 0.7792207792207793, 0.8205128205128205, 0.8181818181818182]
25;5;euclidean;8;0.8348318348318349;[0.8333333333333334, 0.8311688311688312, 0.8589743589743589, 0.8571428571428571, 0.8461538461538461, 0.8181818181818182, 0.8205128205128205, 0.8181818181818182, 0.8205128205128205, 0.8441558441558441]
26;5;euclidean;9;0.8334831834831836;[0.8589743589743589, 0.7922077922077922, 0.8589743589743589, 0.8311688311688312, 0.8461538461538461, 0.7922077922077922, 0.8205128205128205, 0.8831168831168831, 0.8333333333333334, 0.8181818181818182]
27;5;minkowski;1;0.7573759573759574;[0.7692307692307693, 0.7532467532467533, 0.7435897435897436, 0.7142857142857143, 0.7435897435897436, 0.7532467532467533, 0.7435897435897436, 0.7792207792207793, 0.8205128205128205, 0.7532467532467533]
28;5;minkowski;2;0.7418747918747918;[0.7948717948717948, 0.7272727272727273, 0.7307692307692307, 0.6623376623376623, 0.782051282051282, 0.7662337662337663, 0.717948717948718, 0.7662337662337663, 0.7307692307692307, 0.7402597402597403]
29;5;minkowski;3;0.7613886113886114;[0.8333333333333334, 0.7532467532467533, 0.6666666666666666, 0.7662337662337663, 0.7435897435897436, 0.7402597402597403, 0.7564102564102564, 0.8051948051948052, 0.7307692307692307, 0.8181818181818182]
30;5;minkowski;4;0.8116883116883116;[0.8333333333333334, 0.8311688311688312, 0.7948717948717948, 0.8181818181818182, 0.8589743589743589, 0.7922077922077922, 0.7564102564102564, 0.8441558441558441, 0.7564102564102564, 0.8311688311688312]
